number,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Trial_num,acc,loss,val_acc,val_loss,system_attrs__number
33,TrialState.COMPLETE,0.9181999995231629,2019-05-10 07:33:41.201901,2019-05-10 07:33:42.889038,linear,64,5,2,2019-05-10 07:33:42.216512,2019-05-10 07:33:42.740619,33,0.9135833333651224,0.30407669785817465,0.9181999995231629,0.28568578610420226,33
34,TrialState.COMPLETE,0.9772000006675721,2019-05-10 07:33:42.893110,2019-05-10 07:33:45.951323,relu,64,5,1,2019-05-10 07:33:44.598462,2019-05-10 07:33:45.792484,34,0.9710833333333333,0.1015842225988706,0.9772000006675721,0.07604233676195145,34
35,TrialState.COMPLETE,0.9465000003814698,2019-05-10 07:33:45.956021,2019-05-10 07:33:47.850146,relu,64,3,2,2019-05-10 07:33:47.069197,2019-05-10 07:33:47.698848,35,0.9335666666984558,0.23756596372922262,0.9465000003814698,0.18901035590171814,35
36,TrialState.COMPLETE,0.9780000005722046,2019-05-10 07:33:47.854547,2019-05-10 07:33:50.962584,relu,64,5,1,2019-05-10 07:33:49.574308,2019-05-10 07:33:50.799347,36,0.9717499999682109,0.1008774149298668,0.9780000005722046,0.07522398949861527,36
37,TrialState.COMPLETE,0.919900000667572,2019-05-10 07:33:50.967795,2019-05-10 07:33:52.889735,linear,64,3,2,2019-05-10 07:33:52.133979,2019-05-10 07:33:52.733752,37,0.9145999999682108,0.30167168896993,0.919900000667572,0.2797039432525635,37
38,TrialState.COMPLETE,0.9713000003814697,2019-05-10 07:33:52.895091,2019-05-10 07:33:56.496904,relu,64,3,1,2019-05-10 07:33:54.948957,2019-05-10 07:33:56.333975,38,0.9605166666666667,0.1412655512213707,0.9713000003814697,0.10204045238494873,38
39,TrialState.COMPLETE,0.9618999997138977,2019-05-10 07:33:56.502568,2019-05-10 07:33:58.462497,relu,64,5,2,2019-05-10 07:33:57.695237,2019-05-10 07:33:58.307498,39,0.9446499999682109,0.19596774304707845,0.9618999997138977,0.1418456410884857,39
40,TrialState.COMPLETE,0.9674999998092652,2019-05-10 07:33:58.468085,2019-05-10 07:34:01.958292,relu,64,3,1,2019-05-10 07:34:00.442603,2019-05-10 07:34:01.796573,40,0.9598999999682108,0.14432492537498473,0.9674999998092652,0.11606024670600891,40
41,TrialState.COMPLETE,0.9223000005722046,2019-05-10 07:34:01.963182,2019-05-10 07:34:04.601882,linear,64,5,1,2019-05-10 07:34:03.454411,2019-05-10 07:34:04.442455,41,0.9147333333015442,0.297931668138504,0.9223000005722046,0.2795356599807739,41
42,TrialState.COMPLETE,0.9645999996185303,2019-05-10 07:34:04.607094,2019-05-10 07:34:06.410478,relu,64,5,2,2019-05-10 07:34:05.688034,2019-05-10 07:34:06.260536,42,0.9491666666348775,0.17919513545036317,0.9645999996185303,0.12873223209381104,42
43,TrialState.COMPLETE,0.9736000005722046,2019-05-10 07:34:06.415564,2019-05-10 07:34:09.862825,relu,64,3,1,2019-05-10 07:34:08.300168,2019-05-10 07:34:09.705041,43,0.9644333333333334,0.12872251121203104,0.9736000005722046,0.09690812020301819,43
44,TrialState.COMPLETE,0.9770000005722046,2019-05-10 07:34:09.868336,2019-05-10 07:34:12.946667,relu,64,5,1,2019-05-10 07:34:11.592282,2019-05-10 07:34:12.788241,44,0.9730666666984558,0.09612934969464938,0.9770000005722046,0.07483816337585449,44
45,TrialState.COMPLETE,0.9775000004768372,2019-05-10 07:34:12.952174,2019-05-10 07:34:16.123263,relu,64,5,1,2019-05-10 07:34:14.768603,2019-05-10 07:34:15.966286,45,0.9704833333015442,0.1060300075550874,0.9775000004768372,0.07725304539203644,45
