trial_id,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss,intermediate_values_0,intermediate_values_1
20,TrialState.PRUNED,0.09149999933242803,2019-02-24 09:34:25.703182,2019-02-24 09:34:27.078376,linear,32,5,2,2019-02-24 09:34:26.079275,2019-02-24 09:34:27.003490,val_error,20,0.8411333333651225,0.15886666663487747,0.5843577304840087,0.908500000667572,0.09149999933242803,0.3186779235839844,0.09149999933242803,
21,TrialState.PRUNED,0.09129999933242794,2019-02-24 09:34:27.081622,2019-02-24 09:34:28.411192,linear,32,5,2,2019-02-24 09:34:27.436179,2019-02-24 09:34:28.334923,val_error,21,0.8469,0.1531,0.5899928174734116,0.9087000006675721,0.09129999933242794,0.3140285382270813,0.09129999933242794,
22,TrialState.COMPLETE,0.07940000038146977,2019-02-24 09:34:28.414501,2019-02-24 09:34:30.662412,linear,32,3,2,2019-02-24 09:34:29.838499,2019-02-24 09:34:30.624230,val_error,22,0.9114,0.08860000000000001,0.3105964890956879,0.9205999996185302,0.07940000038146977,0.28614895458221434,0.09140000076293942,0.07940000038146977
23,TrialState.PRUNED,0.05329999990463252,2019-02-24 09:34:30.677625,2019-02-24 09:34:34.218204,relu,64,3,1,2019-02-24 09:34:31.280199,2019-02-24 09:34:34.123345,val_error,23,0.8932666666348775,0.10673333336512247,0.39266426417827605,0.9467000000953675,0.05329999990463252,0.19429219703674316,0.05329999990463252,
24,TrialState.COMPLETE,0.0804000007629394,2019-02-24 09:34:34.221728,2019-02-24 09:34:36.694594,linear,64,5,2,2019-02-24 09:34:35.767441,2019-02-24 09:34:36.654353,val_error,24,0.9132333333333333,0.08676666666666666,0.30372659719785056,0.9195999992370606,0.0804000007629394,0.28597766938209535,0.09099999942779546,0.0804000007629394
25,TrialState.PRUNED,0.06219999990463254,2019-02-24 09:34:36.703981,2019-02-24 09:34:38.890487,relu,32,3,1,2019-02-24 09:34:37.097113,2019-02-24 09:34:38.809201,val_error,25,0.8769499999682109,0.12305000003178912,0.45159633402029675,0.9378000000953675,0.06219999990463254,0.2175151077270508,0.06219999990463254,
26,TrialState.PRUNED,0.08169999942779538,2019-02-24 09:34:38.894303,2019-02-24 09:34:40.893999,linear,32,3,1,2019-02-24 09:34:39.258443,2019-02-24 09:34:40.810737,val_error,26,0.8752333333333333,0.12476666666666669,0.4465905676523844,0.9183000005722046,0.08169999942779538,0.28345977716445925,0.08169999942779538,
27,TrialState.COMPLETE,0.0826999992370605,2019-02-24 09:34:40.897935,2019-02-24 09:34:43.667084,linear,64,3,2,2019-02-24 09:34:42.686416,2019-02-24 09:34:43.625727,val_error,27,0.9131500000317891,0.08684999996821086,0.30252370829582215,0.9173000007629395,0.0826999992370605,0.2915928182601929,0.08720000057220456,0.0826999992370605
28,TrialState.PRUNED,0.0890000004768372,2019-02-24 09:34:43.679245,2019-02-24 09:34:45.087399,linear,32,3,2,2019-02-24 09:34:44.066123,2019-02-24 09:34:45.005911,val_error,28,0.8402499999682108,0.15975000003178919,0.6299201046784719,0.9109999995231628,0.0890000004768372,0.31102243337631225,0.0890000004768372,
29,TrialState.PRUNED,0.0836000007629395,2019-02-24 09:34:45.092487,2019-02-24 09:34:47.011581,linear,32,5,1,2019-02-24 09:34:45.461921,2019-02-24 09:34:46.926435,val_error,29,0.87645,0.12355000000000005,0.4375702850818634,0.9163999992370605,0.0836000007629395,0.2875170021057129,0.0836000007629395,
30,TrialState.PRUNED,0.04570000076293945,2019-02-24 09:34:47.015716,2019-02-24 09:34:49.084500,relu,32,5,1,2019-02-24 09:34:47.394992,2019-02-24 09:34:49.001354,val_error,30,0.8935,0.10650000000000004,0.3990405604839325,0.9542999992370605,0.04570000076293945,0.1660483482837677,0.04570000076293945,
31,TrialState.PRUNED,0.08700000076293946,2019-02-24 09:34:49.088259,2019-02-24 09:34:50.869699,linear,64,3,2,2019-02-24 09:34:49.650838,2019-02-24 09:34:50.788003,val_error,31,0.8555999999682109,0.1444000000317891,0.5497096929709117,0.9129999992370605,0.08700000076293946,0.2998959528923035,0.08700000076293946,
32,TrialState.PRUNED,0.0898999992370606,2019-02-24 09:34:50.873213,2019-02-24 09:34:52.262850,linear,32,3,2,2019-02-24 09:34:51.242477,2019-02-24 09:34:52.181833,val_error,32,0.8374499999682109,0.1625500000317891,0.6328968261957169,0.9101000007629394,0.0898999992370606,0.3109246085166931,0.0898999992370606,
33,TrialState.PRUNED,0.06339999971389776,2019-02-24 09:34:52.270327,2019-02-24 09:34:53.880119,relu,64,5,2,2019-02-24 09:34:52.646566,2019-02-24 09:34:53.801856,val_error,33,0.8632000000317891,0.1367999999682109,0.5289418383598328,0.9366000002861022,0.06339999971389776,0.22133554039001466,0.06339999971389776,
34,TrialState.PRUNED,0.08550000057220464,2019-02-24 09:34:53.884299,2019-02-24 09:34:55.472275,linear,64,3,2,2019-02-24 09:34:54.252220,2019-02-24 09:34:55.393633,val_error,34,0.8590333333651224,0.14096666663487756,0.5457969647566477,0.9144999994277954,0.08550000057220464,0.3028407760620117,0.08550000057220464,
35,TrialState.PRUNED,0.06380000009536746,2019-02-24 09:34:55.476502,2019-02-24 09:34:57.863946,relu,32,3,1,2019-02-24 09:34:56.042851,2019-02-24 09:34:57.778460,val_error,35,0.8784500000317892,0.12154999996821081,0.46103021596272786,0.9361999999046325,0.06380000009536746,0.22300209999084472,0.06380000009536746,
36,TrialState.PRUNED,0.08210000066757206,2019-02-24 09:34:57.868444,2019-02-24 09:34:59.898036,linear,32,3,1,2019-02-24 09:34:58.248020,2019-02-24 09:34:59.813757,val_error,36,0.8757666666666667,0.1242333333333333,0.4505608183701833,0.9178999993324279,0.08210000066757206,0.2850588068962097,0.08210000066757206,
37,TrialState.PRUNED,0.04809999980926516,2019-02-24 09:34:59.902523,2019-02-24 09:35:03.156059,relu,64,3,1,2019-02-24 09:35:00.274449,2019-02-24 09:35:03.062526,val_error,37,0.8975333333651225,0.10246666663487747,0.3693891650358836,0.9519000001907348,0.04809999980926516,0.17591977438926698,0.04809999980926516,
38,TrialState.PRUNED,0.047300000667572006,2019-02-24 09:35:03.160154,2019-02-24 09:35:06.421861,relu,64,3,1,2019-02-24 09:35:03.539453,2019-02-24 09:35:06.330489,val_error,38,0.8969,0.10309999999999997,0.401343963042895,0.952699999332428,0.047300000667572006,0.16821736207008361,0.047300000667572006,
39,TrialState.PRUNED,0.03430000009536738,2019-02-24 09:35:06.426550,2019-02-24 09:35:09.587384,relu,64,5,1,2019-02-24 09:35:06.997872,2019-02-24 09:35:09.482342,val_error,39,0.9043166666666667,0.09568333333333334,0.3447331684867541,0.9656999999046326,0.03430000009536738,0.12861998469829558,0.03430000009536738,
40,TrialState.COMPLETE,0.07979999923706049,2019-02-24 09:35:09.592508,2019-02-24 09:35:14.317539,linear,64,5,1,2019-02-24 09:35:12.299465,2019-02-24 09:35:14.264870,val_error,40,0.9167999999682108,0.08320000003178918,0.29544175872802736,0.9202000007629395,0.07979999923706049,0.28378356404304506,0.08249999923706053,0.07979999923706049
